"ID","FIRST_NAME","LAST_NAME","EMAIL","Gender","NET_AMOUNT"
"0000000003","Ellis","Robertson","ellis.robertson@itelo.info","Man",2017602.125
"0000000013","Carroll","Pewitt","carroll.pewitt@itelo.info","Man",885133.375
"0000000008","Pénélope","Duperré","penelope.duperre@itelo.info","Woman",2136443.75
"0000000011","Nelson","Wilkens","nelson.wilkens@itelo.info","Man",608385.75
"0000000009","Kirk","Lee","kirk.lee@itelo.info","Man",1129340.625
"0000000014","Kenneth","Weise","kenneth.weise@itelo.info","Man",379878.625
"0000000005","Javas","Hegde","javas.hegde@itelo.info","Man",2372270.25
"0000000006","Haseena al","Yousuf","alhaseena.yousuf@itelo.info","Woman",1626221.625
"0000000012","Willard","Chatman","willard.chatman@itelo.info","Man",555526.125
"0000000010","Janet","Gray","janet.gray@itelo.info","Woman",534766.75
"0000000004","William","Mussen","william.mussen@itelo.info","Man",2536145.5
"0000000002","Philipp","Egger","philipp.egger@itelo.info","Man",2122505.0
"0000000001","Derrick","Magill","derrick.magill@itelo.info","Man",603436.75
"0000000007","Roberta","Holloway","roberta.holloway@itelo.info","Woman",371986.125
