"SALESORDERID","DELIVERYDATE","CREATIONDATE","LEADTIME","FULLNAME","PARTNERID","PRODUCTID","NETAMOUNT","TAXAMOUNT"
"0500000000","2018-03-11","2018-01-11",59,"William Mussen","0100000022","MB-1034",2186.625,312.375
"0500000000","2018-03-11","2018-01-11",59,"William Mussen","0100000022","CB-1161",349.125,49.875
"0500000001","2018-02-28","2018-01-12",47,"Philipp Egger","0100000026","HB-1175",786.625,112.375
"0500000001","2018-02-28","2018-01-12",47,"Philipp Egger","0100000026","RC-1056",2186.625,312.375
"0500000001","2018-02-28","2018-01-12",47,"Philipp Egger","0100000026","CC-1021",1001.0,143.0
"0500000001","2018-02-28","2018-01-12",47,"Philipp Egger","0100000026","CB-1161",349.125,49.875
"0500000002","2018-03-09","2018-01-15",53,"Javas Hegde","0100000018","HB-1175",786.625,112.375
"0500000002","2018-03-09","2018-01-15",53,"Javas Hegde","0100000018","RC-1055",1749.125,249.875
"0500000002","2018-03-09","2018-01-15",53,"Javas Hegde","0100000018","DB-1081",1311.625,187.375
"0500000002","2018-03-09","2018-01-15",53,"Javas Hegde","0100000018","EB-1133",1968.75,281.25
"0500000002","2018-03-09","2018-01-15",53,"Javas Hegde","0100000018","BX-1015",261.625,37.375
"0500000002","2018-03-09","2018-01-15",53,"Javas Hegde","0100000018","CC-1021",1001.0,143.0
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","RC-1056",2186.625,312.375
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","BX-1013",392.875,56.125
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","RC-1056",2186.625,312.375
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","CB-1161",349.125,49.875
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","EB-1131",1312.5,187.5
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","MB-1034",2186.625,312.375
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","DB-1082",1093.75,156.25
"0500000003","2018-02-23","2018-01-15",39,"Ellis Robertson","0100000009","EB-1134",4200.0,600.0
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","BX-1014",699.125,99.875
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","EB-1134",4200.0,600.0
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","CB-1163",252.0,36.0
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","BX-1013",392.875,56.125
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","MB-1034",2186.625,312.375
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","MB-1031",567.875,81.125
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","RC-1051",2186.625,312.375
"0500000004","2018-03-05","2018-01-16",48,"Pénélope Duperré","0100000025","HB-1174",331.625,47.375
"0500000005","2018-03-01","2018-01-16",44,"Pénélope Duperré","0100000008","RC-1054",4811.625,687.375
"0500000005","2018-03-01","2018-01-16",44,"Pénélope Duperré","0100000008","CC-1021",1001.0,143.0
"0500000005","2018-03-01","2018-01-16",44,"Pénélope Duperré","0100000008","RC-1052",3499.125,499.875
"0500000005","2018-03-01","2018-01-16",44,"Pénélope Duperré","0100000008","BX-1011",217.875,31.125
"0500000005","2018-03-01","2018-01-16",44,"Pénélope Duperré","0100000008","HB-1175",786.625,112.375
"0500000005","2018-03-01","2018-01-16",44,"Pénélope Duperré","0100000008","RO-1002",602.875,86.125
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","EB-1137",6912.5,987.5
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","CB-1163",252.0,36.0
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","EB-1134",4200.0,600.0
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","HB-1176",1049.125,149.875
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","RC-1052",3499.125,499.875
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","EB-1135",2625.0,375.0
"0500000006","2018-03-14","2018-01-17",56,"Ellis Robertson","0100000038","RC-1054",4811.625,687.375
"0500000007","2018-03-08","2018-01-19",48,"William Mussen","0100000020","HB-1171",611.625,87.375
"0500000008","2018-02-25","2018-01-20",36,"Ellis Robertson","0100000028","EB-1137",6912.5,987.5
"0500000008","2018-02-25","2018-01-20",36,"Ellis Robertson","0100000028","CC-1022",1050.0,150.0
"0500000008","2018-02-25","2018-01-20",36,"Ellis Robertson","0100000028","CC-1023",1190.875,170.125
"0500000008","2018-02-25","2018-01-20",36,"Ellis Robertson","0100000028","RC-1052",3499.125,499.875
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","BX-1014",699.125,99.875
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","EB-1131",1312.5,187.5
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","EB-1135",2625.0,375.0
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","CC-1021",1001.0,143.0
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","EB-1135",2625.0,375.0
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","BX-1013",392.875,56.125
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","DB-1081",1311.625,187.375
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","CB-1161",349.125,49.875
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","HB-1171",611.625,87.375
"0500000009","2018-03-09","2018-01-21",47,"William Mussen","0100000021","HB-1175",786.625,112.375
"0500000010","2018-03-23","2018-01-24",58,"Derrick Magill","0100000004","RO-1002",602.875,86.125
"0500000010","2018-03-23","2018-01-24",58,"Derrick Magill","0100000004","CC-1021",1001.0,143.0
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","MB-1032",1136.625,162.375
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","RO-1001",459.375,65.625
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","MB-1031",567.875,81.125
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","BX-1016",279.125,39.875
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","EB-1132",1662.5,237.5
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","EB-1135",2625.0,375.0
"0500000011","2018-03-22","2018-01-27",54,"William Mussen","0100000020","RC-1054",4811.625,687.375
"0500000012","2018-03-17","2018-01-30",46,"William Mussen","0100000022","HB-1176",1049.125,149.875
"0500000012","2018-03-17","2018-01-30",46,"William Mussen","0100000022","CB-1161",349.125,49.875
"0500000012","2018-03-17","2018-01-30",46,"William Mussen","0100000022","BX-1013",392.875,56.125
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","RO-1001",459.375,65.625
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","BX-1015",261.625,37.375
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","RC-1055",1749.125,249.875
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","RO-1001",459.375,65.625
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","CC-1023",1190.875,170.125
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","EB-1133",1968.75,281.25
